,pH,EC,OC,N,P,K,S,Zn,Fe,Cu,Mn,Target,Sub_Target
104,6.7,0.29,0.63,437.85,21.02,161.64,12.49,4.66,9.24,0.46,4.32,0,0
105,6.6,0.34,1.08,750.6,127.63,292.97,53,36.68,8.32,1.72,2.18,0,3
106,7.7,0.06,1.08,750.6,90.1,387.2,53,3.64,9.64,0.98,3.46,0,3
107,7.4,0.47,0.91,632.45,120.12,369.3,44.3,1.66,9.1,1.52,4.02,0,1
108,6.9,0.53,0.77,535.15,22.7,297.7,17.24,0.68,7.12,0.32,2.22,0,1
109,6.8,0.53,0.68,472.6,30.84,307.4,16.37,0.68,7.68,0.32,2.28,0,1
110,7,0.53,0.75,530.7,24.62,297.6,5.77,0.66,7.7,0.3,2.9,0,1
111,7,0.53,0.66,487.9,17.6,201.7,6.12,0.68,7.12,0.3,2.98,0,0
112,7.1,0.54,0.6,417,21.68,297.1,28.01,0.68,7.44,0.28,2.66,0,1
113,7.1,0.6,0.5,347.5,30.94,363.4,13.06,0.7,6.64,0.28,2.68,0,1
114,7.1,0.61,0.98,681.1,27.62,406.2,5.77,0.7,6.42,0.28,2.7,0,3
115,7,0.63,0.89,618.55,24.68,297.6,6.81,0.7,6.98,0.28,2.72,0,3
116,7.1,0.53,0.64,444.8,19.42,269.4,5.77,0.74,6.48,0.36,3.14,0,1
117,7,0.53,0.51,354.45,26.34,307.3,21.55,0.7,6.66,0.38,2.48,0,1
118,6.9,0.52,0.66,458.7,22.76,293.6,9.05,0.68,6.82,0.34,2.52,0,1
119,6.9,0.53,0.98,681.1,18.62,203.4,7.32,0.64,6.48,0.36,2.5,0,3
120,7,0.53,0.69,479.55,28.54,307.3,5.17,0.68,6.52,0.32,2.42,0,1
121,7,0.54,0.71,493.45,20.36,293.2,11.2,0.66,6.5,0.28,2.4,0,1
122,6.9,0.54,0.51,354.45,17.44,191.7,21.55,0.64,6.52,0.26,2.38,0,0
123,6.9,0.55,0.77,535.15,24.68,363.2,15.08,0.7,6.62,0.32,2.4,0,1
124,7,0.55,0.68,472.6,16.44,403.1,163.37,0.7,6.7,0.34,2.42,0,1
125,7,0.5,0.55,382.25,23.66,167.2,23.27,0.7,6.72,0.3,2.44,0,0
126,7,0.56,0.5,347.5,18.5,269.3,18.53,0.72,6.14,0.32,2.36,0,1
127,6.9,0.52,0.51,554.45,26.82,267.1,13.75,0.68,7.12,0.32,2.84,0,1
128,6.8,0.53,0.54,444.8,22.78,197.2,18.4,0.72,7.24,0.34,2.96,0,0
129,7,0.53,0.52,364.4,20.84,139.1,20.76,0.7,7.36,0.34,2.76,0,0
130,7,0.54,0.48,333.6,19.67,363.1,15.56,0.68,6.68,0.34,2.8,0,1
131,6.9,0.56,0.5,347.5,18.34,227.86,20.62,0.7,6.84,0.38,2.88,0,0
132,6.9,0.57,0.64,444.8,23.56,280.56,21.42,0.68,6.9,0.36,2.54,0,1
133,6.8,0.56,0.55,382.25,22.62,369.7,22.4,0.7,6.18,0.36,3.84,0,1
134,7,0.6,0.77,535.15,17.77,197.4,24.44,0.68,6.32,0.36,3.18,0,0
135,7,0.72,0.77,535.15,14.56,169.7,21.24,0.68,7.74,0.36,2.66,0,0
136,7,0.64,0.55,382.25,26.84,193.7,15.76,0.7,7.62,0.38,2.38,0,0
137,7.1,0.65,0.7,486.5,18.32,169.7,19.68,0.72,7.66,0.38,2.54,0,0
138,7,0.67,0.51,354.8,22.44,167.3,16.54,0.7,7.74,0.38,2.86,0,0
139,6.9,0.63,0.5,347.5,15.58,216.44,9.5,0.72,7.58,0.68,4.48,0,0
140,6,0.14,0.66,459,8.25,169.23,15.5,0.82,9.16,0.2,0.9,0,0
141,6.2,0.19,0.75,521,9.76,197.69,10.7,0.86,6.34,0.32,0.86,0,0
142,6.3,0.17,0.7,487,6.75,187.2,14.2,0.84,6.56,0.34,0.84,0,0
143,7,0.72,0.57,396,17.26,176,28.01,0.66,6.36,0.4,2.24,0,0
144,7,0.72,0.57,396,17.26,176,28.01,0.66,6.36,0.4,2.24,0,0
145,7,0.62,0.53,368,18.84,267,28.01,0.64,6.46,0.24,2.5,0,1
146,7,0.62,0.53,368,18.84,267,28.01,0.64,6.46,0.24,2.5,0,1
147,6.8,0.63,0.5,347.5,17.54,237.2,23.27,0.64,7.72,0.38,2.42,0,1
148,6.8,0.63,0.5,347.5,17.54,237.2,23.27,0.64,7.72,0.38,2.42,0,1
149,7.2,0.67,0.51,354.45,16.52,287.3,13.06,0.68,7.28,0.4,2.7,0,1
150,7.2,0.67,0.51,354.45,16.52,287.3,13.06,0.68,7.28,0.4,2.7,0,1
151,7,0.71,0.52,361.4,26.3,163.2,28.01,0.7,6.22,0.32,2.54,0,0
152,7,0.71,0.52,361.4,26.3,163.2,28.01,0.7,6.22,0.32,2.54,0,0
153,7.1,0.67,0.52,361,3.75,152.13,12.06,0.66,7.16,0.36,0.86,0,0
154,7,0.66,0.54,375,1.5,127.51,16.3,0.62,6.34,0.26,0.92,0,0
155,6.9,0.65,0.6,417,2.25,165.23,14.2,0.74,6.3,0.24,0.96,0,0
156,6.9,0.66,0.56,389,3,169.49,12.9,0.68,6.58,0.38,1.26,0,0
157,6.7,0.69,0.62,431,9.76,129.32,12.4,0.54,6.46,0.32,0.74,0,0
158,6.9,0.67,0.58,403,3.75,21.32,13.7,0.6,6.32,0.24,0.8,0,0
159,7,0.68,0.5,347.5,8.36,287.2,12.2,0.76,7.46,0.36,2.44,0,1
160,6.7,0.86,0.58,403,10.5,96.53,15.5,0.62,6.16,0.24,1.84,0,0
161,5.9,0.92,0.66,459,12.01,104.39,11.2,0.68,6.84,0.26,1.36,0,0
162,6.9,0.85,0.74,514,11.26,110,9.91,0.64,5.36,0.28,0.66,0,0
163,6.7,0.89,0.72,500,9,189.7,8.62,0.66,6.28,0.3,0.5,0,0
164,6.4,0.26,0.54,375,14.26,42.65,15.9,0.48,6.68,0.32,3.44,0,0
165,6.9,0.88,0.75,521,8.25,239.09,8.18,0.62,6.6,0.32,0.54,0,1
166,7.9,0.72,0.5,347,17.76,239,5.77,0.74,6.4,0.44,2.52,0,1
167,7.9,0.72,0.5,347,17.76,239,5.77,0.74,6.4,0.44,2.52,0,1
168,7.1,0.77,0.65,451,18.4,289,16.9,0.72,6.44,0.36,2.38,0,1
169,7.1,0.77,0.65,451,18.4,289,16.9,0.72,6.44,0.36,2.38,0,1
170,6.9,0.57,0.5,347.5,15.54,267.15,18.7,0.7,8.82,0.32,2.84,0,1
171,6.9,0.67,0.77,535.15,20.34,112.25,19.32,0.7,8.18,0.34,2.64,0,0
172,7.3,0.76,0.54,375,10.23,272,11.2,0.68,6.88,0.42,2.31,0,1
173,7.3,0.76,0.54,375,10.23,272,11.2,0.68,6.88,0.42,2.31,0,1
174,6.8,0.95,0.56,389,7.5,168.7,11.63,0.66,6.42,0.42,1.92,0,0
175,6.9,0.79,0.6,417,10.51,189.3,7.76,0.62,8.18,0.36,1.94,0,0
176,5.8,0.81,0.62,431,11.26,223.7,10.34,0.64,7.08,0.28,1.74,0,0
177,5.9,0.82,0.58,403,10.51,176.8,7.76,0.66,7.14,0.36,1.76,0,0
178,8.83,0.65,0.61,464,91,176,69,1.12,17.59,2.55,3.24,0,0
179,6.8,0.69,0.69,445,9,203.13,9.36,0.64,7.38,0.4,1.72,0,0
180,7.4,0.14,0.62,434.6,26.72,22.08,15.6,0.66,6.66,0.42,2.92,0,0
181,7.2,0.13,0.48,439.4,24.8,26.18,18.8,0.84,6.64,0.44,2.94,0,0
182,6.8,0.14,0.75,530.7,27.8,18.19,14.25,0.7,8.7,0.48,2.72,0,0
183,7.6,0.14,0.66,487.9,23.88,37.18,13.65,0.72,9.18,0.4,2.78,0,0
184,7.9,0.17,0.55,490.4,19.72,47.18,14.05,0.7,9.2,0.36,2.64,0,0
185,7.4,0.13,0.4,470.4,23.88,36.17,17.06,0.68,8.36,0.34,2.7,0,0
186,7.6,0.14,0.57,405.8,24.72,36.14,16.25,0.64,7.34,0.3,2.78,0,0
187,7.7,0.14,0.57,470.8,25.88,34.15,13.23,0.68,7.18,0.32,2.7,0,0
188,7.3,0.13,0.6,480.9,27.88,39.14,10.18,0.62,7.22,0.3,2.64,0,0
189,6.3,0.85,0.75,521,9,202.1,17.4,0.66,8.12,0.4,1.72,0,0
190,6.1,0.91,0.72,500,6.75,179.68,12.6,0.66,8.1,0.48,1.8,0,0
191,6.9,0.2,0.52,361.45,18.01,263.1,19.1,0.7,6.42,0.28,2.34,0,1
192,7.7,0.23,0.54,375.3,13.51,269.3,14.3,0.66,6.62,0.28,2.14,0,1
193,6.5,0.17,0.5,347.5,9.76,269.3,12.01,0.72,6.64,0.28,2.52,0,1
194,6.7,0.17,0.56,389.2,10.51,273.6,8.25,0.68,6.66,0.3,2.18,0,1
195,6.8,0.18,0.6,417,11.26,287.6,11.26,0.68,6.72,0.3,2.64,0,1
196,6.9,0.18,0.66,458.7,12.01,226.6,13.51,0.66,6.62,0.28,2.32,0,0
197,7.1,0.18,0.54,375.3,8.25,216.3,12.01,0.68,6.7,0.26,2.46,0,0
198,7.3,0.19,0.62,430.9,9,196.3,13.3,0.64,7.42,0.28,2.72,0,0
199,7.4,0.17,0.58,403.1,9.76,226.3,11.26,0.7,7.38,0.26,2.7,0,0
200,7.5,0.15,0.52,361.4,11.26,217.76,10.23,0.72,7.64,0.28,2.84,0,0
201,7.8,0.14,0.6,417,13.51,233.48,9.61,0.68,7.62,0.26,2.88,0,1
202,7.9,0.13,0.56,389.2,18.01,297.6,11.1,0.66,7.64,0.24,2.92,0,1
203,8.1,0.15,0.58,403.1,24.77,297.6,11.25,0.8,6.86,0.38,1.34,0,1
204,8.2,0.15,0.66,458.7,12.01,169.2,12.04,0.72,6.72,0.56,1.26,0,0
205,8.3,0.15,0.6,417,24.02,139.2,11.26,0.7,6.56,0.5,1.22,0,0
206,8.5,0.16,0.56,389.2,17.26,267.6,16.6,0.88,6.4,0.32,1.42,0,1
207,7.9,0.16,0.68,472.6,16.51,169.4,17.89,0.68,6.38,0.34,1.36,0,0
208,7.8,0.17,0.74,486.5,12.76,297.3,13.45,1.22,6.26,0.42,1.38,0,1
209,7.7,0.17,0.72,500.4,20.27,169.3,12.62,1.34,6.28,0.4,1.64,0,0
210,7.2,0.18,0.64,444.8,11.26,179.4,13.5,0.66,6.56,0.36,1.52,0,0
211,7.4,0.18,0.52,361.4,13.51,263.1,10.5,0.74,6.48,0.24,1.66,0,1
212,7.8,0.19,0.54,375.3,12.01,193.2,13.25,0.78,6.26,0.32,1.36,0,0
213,8.1,0.19,0.56,389.2,17.26,269.1,16.6,1.36,6.54,0.26,1.58,0,1
214,7.8,0.2,0.62,430.9,23.27,167.6,17.25,0.66,6.42,0.36,1.32,0,0
215,8.3,0.21,0.58,403.1,11.26,267.1,13.25,0.62,6.38,0.2,1.34,0,1
216,8.5,0.21,0.52,361.4,21,169.4,14.4,0.86,6.32,0.24,1.26,0,0
217,7.2,0.71,0.6,417,5.25,112.25,11.52,0.62,9.1,0.36,1.9,0,0
218,7,0.7,0.62,431,7.5,187.5,9.32,0.64,8.42,0.38,2.1,0,0
219,6.9,0.73,0.56,389,9.76,101.3,8.36,0.66,9.4,0.34,2.48,0,0
220,6.8,0.72,0.58,403,10.51,5.61,7.42,0.64,9.06,0.36,2.14,0,0
221,6.7,0.79,0.7,487,11.26,178.23,18.28,0.72,9.12,0.28,1.44,0,0
222,6.6,0.74,0.75,521,9,123.7,16.5,0.7,8.44,0.5,1.56,0,0
223,6.3,0.8,0.78,542,8.25,324.4,15.48,0.66,8.52,0.46,1.66,0,1
224,6.2,0.7,0.74,514,8,290.72,8.22,0.64,7.7,0.48,1.7,0,1
225,7,0.82,0.72,500,7.5,112.2,7.68,0.66,7.66,0.36,2.1,0,0
226,6.6,0.71,0.68,473,6.75,324.4,11.6,0.64,7.64,0.3,1.92,0,1
227,6.7,0.87,0.76,528,6,90.92,9.7,0.66,7.12,0.32,1.9,0,0
228,6.3,0.75,0.7,487,11.26,178.4,12.92,0.64,6.66,0.34,1.76,0,0
229,6.2,0.64,0.75,521,7.5,200.1,13.76,0.7,6.48,0.4,1.72,0,0
230,7,0.74,0.72,500,7.5,187.6,9.82,0.64,6.36,0.42,1.88,0,0
231,7.3,0.68,0.76,528,9.76,324.4,15.4,0.6,6.48,0.36,1.94,0,1
232,7.1,0.68,0.7,487,9,134.7,15.24,0.64,6.88,0.34,1.92,0,0
233,7.1,0.65,0.74,514,9,160.51,8,0.72,6.34,0.44,2.248,0,0
234,7,0.69,0.68,473,8.25,290.72,14.16,0.66,6.16,0.36,1.9,0,1
235,6.9,0.7,0.75,521,9.76,255.93,13.6,0.66,7,0.4,1.7,0,1
236,7.2,0.65,0.78,542,6,197.5,19.14,0.66,6.42,0.36,1.9,0,0
237,7,0.67,0.8,556,6.75,197.5,12.36,0.62,6.42,0.34,1.96,0,0
238,7,0.89,0.72,370,7.3,224,3.8,3.18,6.28,0.1,3.46,0,0
239,6.3,0.18,0.5,347.5,12.76,269.3,7.65,0.66,6.18,0.46,1.56,0,1
240,6.9,0.16,0.66,459,9.76,125.69,7.75,0.64,7.22,0.36,1.66,0,0
241,6.7,0.95,0.7,487,8.25,127.23,10.7,0.68,6.48,0.42,1.68,0,0
242,6.6,0.78,0.75,521,7.5,176.32,9.04,0.62,6.94,0.48,1.44,0,0
243,6.4,0.76,0.68,472,9,104.1,8.2,0.7,8.1,0.42,1.42,0,0
244,6.2,0.86,0.72,500,10.51,222.1,12.4,0.64,7.12,0.42,1.74,0,0
245,6.9,0.89,0.74,514,18.01,193.87,11.8,0.66,6.66,0.38,1.22,0,0
246,6.7,0.77,0.78,542,9,178.27,9.16,0.64,6.62,0.4,1.36,0,0
247,7.2,0.16,0.64,445,6.75,193.23,16.21,0.68,6.14,0.46,1.44,0,0
248,7.1,0.15,0.6,417,7.5,179.27,18.2,0.66,7.48,0.44,1.64,0,0
249,6.9,0.16,0.66,459,11.26,137.23,19,0.72,5.1,0.42,1.78,0,0
250,6.1,0.15,0.72,500,9.76,287.64,15.04,0.66,7.46,0.36,1.72,0,1
251,6.2,0.16,0.75,521.1,6,203.17,9.08,0.66,7.38,0.38,1.94,0,0
252,6.4,0.15,0.74,514,10.51,179.27,8.62,0.66,7.24,0.34,1.96,0,0
253,6.2,0.71,0.76,528,7.5,182.97,9.75,0.64,7.26,0.4,1.66,0,0
254,6.3,0.91,0.78,542,9.76,201.69,9.91,0.66,7.9,0.36,1.7,0,0
255,5.9,0.95,0.74,514,6.75,200.92,19,0.64,7.4,0.5,1.72,0,0
256,6,0.09,0.7,487,4.5,176.27,10.34,0.66,8.6,0.52,1.8,0,0
257,6.1,0.75,0.64,445,7.5,199.27,12.5,0.68,6.62,0.42,1.7,0,0
258,7.1,0.61,0.66,459,9,290.72,7.96,0.64,7.44,0.4,1.72,0,1
259,6.1,0.75,0.64,445,7.5,199.27,12.5,0.68,6.62,0.42,1.7,0,0
260,6.9,0.67,0.7,487,9.76,163.27,7.32,0.72,9.08,0.44,1.72,0,0
261,5.9,0.7,0.66,459,10.51,139.23,9.48,0.7,7.12,0.28,1.74,0,0
262,6,0.73,0.72,500,11.26,127.69,19,0.74,6.5,0.32,1.64,0,0
263,7,0.7,0.72,500,7.5,287.63,8.04,0.66,8.14,0.36,1.66,0,1
264,6.3,0.95,0.68,473,10.51,123.17,9.05,0.66,6.62,0.34,1.7,0,0
265,7.1,0.69,0.74,514,9,303.7,14.23,0.62,8.26,0.28,1.68,0,1
266,6.5,0.91,0.75,521,9.76,109.27,8.19,0.62,6.64,0.36,1.6,0,0
267,6.9,0.92,0.78,542,6.75,113.25,6.03,0.66,8.88,0.34,1.62,0,0
268,6.7,0.75,0.8,556,9.26,127.69,6.9,0.62,9.92,0.32,1.56,0,0
269,6.6,0.79,0.76,528,10.51,129.25,9.48,0.64,7.7,0.3,1.84,0,0
270,6,0.81,0.7,487,7.5,223.16,6.03,0.68,7.16,0.4,1.76,0,0
271,6.8,0.72,0.68,473,9,120.03,20.2,0.7,6.72,0.42,1.74,0,0
272,5.8,0.17,0.72,500,11.26,161.23,9.91,0.64,6.16,0.32,1.88,0,0
273,6.2,0.7,0.74,514,6.75,193.23,8.19,0.62,7.44,0.48,1.82,0,0
274,6.4,0.65,0.75,521,7.5,138.23,5.17,0.6,7.5,0.42,1.9,0,0
275,6.4,0.72,0.78,542,9,203.17,4.74,0.64,7.72,0.26,1.94,0,0
276,6.9,0.71,0.8,556,12.01,137.69,8.19,0.7,8.1,0.28,1.72,0,0
277,6.7,0.73,0.7,487,10.51,127.31,10.34,0.66,9.08,0.32,1.52,0,0
278,6.3,0.16,0.68,473,7.5,138.63,9.05,0.62,7.48,0.3,1.8,0,0
279,6.5,0.71,0.66,459,9,167.6,9.91,0.68,7.32,0.32,1.66,0,0
280,6.3,0.75,0.72,500,8.25,123.27,16.8,0.66,7.14,0.34,1.78,0,0
281,7.2,0.79,0.68,473,8.25,286.5,21.3,0.64,8.5,0.26,1.8,0,1
282,7,0.64,0.7,487,9.76,179.5,18.86,0.68,9.48,0.3,1.82,0,0
283,7,0.68,0.75,521,10.51,134.7,12.7,0.7,7.72,0.32,1.78,0,0
284,7.1,0.79,0.78,542,7.5,199.7,14.08,0.68,7.8,0.34,1.8,0,0
285,6.9,0.69,0.76,528,9,193.5,15.13,0.68,7.18,0.4,1.82,0,0
286,7.1,0.77,0.64,445,8.25,169.2,10.4,0.66,7.04,0.42,1.92,0,0
287,7,0.63,0.69,479.55,10.52,163.4,18.53,0.7,7.3,0.28,2.66,0,0
288,7,0.67,0.52,361.4,12.56,169.1,23.27,0.68,7.32,0.3,2.72,0,0
